manufacturer,date,avg_price,tdp,sales,units,date_new,channel,SOM
OTROS,SEPTIEMBRE 2020,703.318581,284,12106.948,17.214031204445032,2020-09-01,DTS,12.618069267442529
OTROS,SEPTIEMBRE 2021,727.998491,839,22414.124,30.78869568700796,2021-09-01,DTS,14.856790518569913
PEPSICO,ABRIL 2020,1609.938659,1514,51906.873,32.241522190815346,2020-04-01,DTS,67.23917888231493
PEPSICO,ABRIL 2021,1639.131781,2525,73357.321,44.753766506342906,2021-04-01,DTS,64.33409096157116
PEPSICO,ABRIL 2022,1917.303417,3087,120631.036,62.91702968367473,2022-04-01,DTS,62.47990824383999
PEPSICO,AGOSTO 2019,1490.645499,2557,74272.167,49.82550650025476,2019-08-01,DTS,61.20680004107584
PEPSICO,AGOSTO 2020,1630.425419,1659,55778.672,34.211115301558,2020-08-01,DTS,67.22705815392273
PEPSICO,AGOSTO 2021,1660.865417,2797,95539.459,57.52390170937012,2021-08-01,DTS,64.19192451341688
PEPSICO,AGOSTO 2022,2220.326901,2973,136443.979,61.45220279885263,2022-08-01,DTS,61.4673251611595
PEPSICO,DICIEMBRE 2019,1536.556673,2562,81081.324,52.7681962043713,2019-12-01,DTS,61.825610780051015
PEPSICO,DICIEMBRE 2020,1662.796228,1953,80321.715,48.30520640319856,2020-12-01,DTS,65.49589945876525
PEPSICO,DICIEMBRE 2021,1744.18853,2957,106074.716,60.81608391267199,2021-12-01,DTS,63.48945832456704
PEPSICO,ENERO 2020,1577.273096,2614,81714.257,51.80729780228243,2020-01-01,DTS,62.84463160724943
PEPSICO,ENERO 2021,1676.572172,1996,78827.118,47.01683549117145,2021-01-01,DTS,67.32400747435689
PEPSICO,ENERO 2022,1790.007008,2984,114064.299,63.72282258684878,2022-01-01,DTS,63.4815442964934
PEPSICO,FEBRERO 2020,1525.824518,2488,71709.883,46.99746409501594,2020-02-01,DTS,60.363123628643294
PEPSICO,FEBRERO 2021,1635.23744,2216,73427.635,44.90334749184803,2021-02-01,DTS,64.01091559436067
PEPSICO,FEBRERO 2022,1721.816779,2868,107034.968,62.16397081585183,2022-02-01,DTS,62.48752547848099
PEPSICO,JULIO 2020,1638.698459,1600,57083.513,34.83466569855364,2020-07-01,DTS,67.21273575170628
PEPSICO,JULIO 2021,1672.76673,2811,95180.588,56.90009628539181,2021-07-01,DTS,64.88701636821119
PEPSICO,JULIO 2022,2197.39382,3028,136887.438,62.29535950911158,2022-07-01,DTS,61.896719179163874
PEPSICO,JUNIO 2020,1618.900429,1476,50333.959,31.091448305496744,2020-06-01,DTS,67.38214413761081
PEPSICO,JUNIO 2021,1667.555494,2637,83611.875,50.14038531301796,2021-06-01,DTS,65.81419814593102
PEPSICO,JUNIO 2022,2118.254511,3019,129080.026,60.93697680316187,2022-06-01,DTS,61.39915459640933
PEPSICO,MARZO 2020,1535.999935,2407,73130.731,47.61115500958664,2020-03-01,DTS,62.28979618502022
PEPSICO,MARZO 2021,1612.588417,2500,74483.113,46.18854520768891,2021-03-01,DTS,63.3337669916468
PEPSICO,MARZO 2022,1795.067527,3005,118907.447,66.24121110291803,2022-03-01,DTS,62.39784049614017
