Manufacturer,Channel,Training Upto,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,Overall WAPE
OTROS,SUPERETES,November 2021,,1.2671778164898742,2.5011186282123785,5.68492846194252,0.25474678626880176,9.844605651081968,5.0658792289280115,10.149393834515369,10.493212513543368,12.74831013284798,13.585546408444541,7.579954581371171
PEPSICO,DTS,November 2021,,3.1251483781173595,3.1776597046080073,9.256081869120194,16.163599296406208,21.181375136881513,22.533587869592637,18.01076664383891,20.06883514516985,19.433803866615904,13.700364306936597,15.097621144743252
PEPSICO,SUPERCADENAS,November 2021,,2.822031503285175,0.2723215241547741,4.102128027443733,0.9469356787113674,9.021657981993243,9.295287841938752,6.658766790820342,5.816098675356881,8.345781408986138,4.627835393071087,5.32325283558826
PEPSICO,SUPERETES,November 2021,,0.11766552323680243,2.8028231624136746,0.8589087878007796,1.2400250464260747,3.263829825731777,4.583210281657591,8.368215605499373,7.604577591898815,8.598477623317148,4.422459090913753,4.393968285964072
RAMO,DTS,November 2021,,0.8110602556237201,3.56303069753895,5.870255950097932,0.11947007845458578,0.7216486116049355,5.006922822566845,5.4321488803680635,2.186883814684214,4.722046004319586,2.5623766378482817,3.136246661347072
RAMO,SUPERCADENAS,November 2021,,6.9991710007181345,16.18904330004366,16.370267926336187,14.454897291822293,6.826376208426155,0.22007722147280956,14.764134079002243,13.943694323940612,16.511622048149977,16.670521599622745,12.580475435029154
RAMO,SUPERETES,November 2021,,9.867918865655739,12.027951939935484,14.12483082642389,3.5010215516209655,2.9149651268175663,3.116143985394684,7.751509484473705,9.454387746375227,1.9658616142053227,5.760974823189576,6.74501636125272
YUPI,DTS,November 2021,,1.8173756881401206,8.49081912637013,17.2133324579868,26.045539536301227,36.357227011679875,38.89929617636463,39.08462857260225,38.94650079373184,40.48811652265517,35.36318490261758,29.760377130462242
YUPI,SUPERCADENAS,November 2021,,16.79781102548737,21.602224756332383,14.090334240525511,27.05871491471866,33.08828474060989,14.979794479622301,3.27204299648972,0.4495163072343181,1.1796534449063867,7.050350415627703,13.733289584531564
YUPI,SUPERETES,November 2021,,6.891328284430396,4.1622266018218435,3.717442647650173,1.1142770452363813,8.299474456854382,4.525709870387574,14.024945888376056,6.791940547532522,2.5052813474777893,4.491434083471347,5.707848090646535
COMESTIBLES,DTS,December 2021,,,7.564217032578214,1.3481968945688254,2.9533271389718814,12.414319517377946,16.05006749692465,17.080755661785943,14.924431739011165,14.629604102172186,7.721294948736189,10.929937277755991
COMESTIBLES,SUPERCADENAS,December 2021,,,7.655009849651952,9.034876507278582,2.775210556394934,26.403532436529087,32.63388809782089,28.35920633340398,37.00355275676294,27.973846212467972,34.51640307948098,24.88105071199286
COMESTIBLES,SUPERETES,December 2021,,,2.9019654329458766,1.0661489146936607,0.30907393772821695,8.648071841399332,19.8069406473711,28.996000848237916,22.4832709019757,12.068596308364716,12.108857597918819,13.176952659930302
OTROS,DTS,December 2021,,,1.6300406090812656,1.0096394365936947,8.290079367508806,16.94306980201292,26.663554384245224,26.711303457300787,27.46963524079958,28.73236849338026,25.62076149838227,19.219054933473423
OTROS,SUPERCADENAS,December 2021,,,5.676231436413851,6.87853318315872,6.3358491829660615,11.618116097961954,15.352906197129816,18.460665341861255,28.273434285580457,25.145011198727342,24.610583613731784,16.889745739088738
OTROS,SUPERETES,December 2021,,,1.2305345983341232,8.11057239458841,0.8822004226270027,13.25289167194922,8.46897363329484,16.70505468311133,21.31388937761607,16.248272670339432,17.593546433506692,12.12778811661414
PEPSICO,DTS,December 2021,,,2.7278660241136707,9.115574508383485,5.648404223214416,0.8495195697933289,5.931239432410626,2.7767314998337307,2.711437803325362,5.115768972066964,2.298274348245154,4.046030061690906
PEPSICO,SUPERCADENAS,December 2021,,,3.948094976285524,0.8788715560541235,1.5576189722858955,9.405866610928127,12.586745117162708,8.837199330770817,3.5204124999286823,5.855183799627391,4.169142634231953,5.7402723476579265
PEPSICO,SUPERETES,December 2021,,,2.67818435486741,0.2423228836434926,0.4772439672361802,5.00624012739245,4.730386282990054,12.466565838570933,6.985210311931734,7.000620579091823,6.705733240312818,5.326077621664553
RAMO,DTS,December 2021,,,6.491643069730531,4.497592350359349,6.747022598927454,3.7620152601330097,10.809255178462301,7.348868418125554,6.278720964565297,8.654244642715497,6.0979022635337685,6.818634878759439
RAMO,SUPERCADENAS,December 2021,,,8.088264976071189,9.92431606254024,7.767146656968929,2.2147243811813513,5.044247990985177,2.2143119105605393,4.674201592580437,4.636321514941292,5.786825421871144,5.57133611116578
RAMO,SUPERETES,December 2021,,,9.246270834356135,8.622179531184628,1.6511476349432974,3.3672028011869553,0.11814380751956234,1.951272809541148,3.2439532688764094,3.988144509161728,1.6841223116560715,3.554260181068905
YUPI,DTS,December 2021,,,8.103549198027153,6.132386901758728,5.68874974476623,11.215418648659103,24.363487838319994,19.510405991452558,17.35292633677267,21.18994181050654,14.12554960593479,14.710200986853572
YUPI,SUPERCADENAS,December 2021,,,12.52075432842253,20.43988568632503,32.77274086861241,30.67654596716547,11.06804055088056,1.1682575000633784,1.6888857761773037,2.5309458856802443,9.928995647514578,12.897120779716527
YUPI,SUPERETES,December 2021,,,1.735515976909722,0.09592521933679655,3.9642910137760046,9.262102285404568,4.795638060965149,20.702572998734265,11.393909038919753,7.604389243344719,7.549925371608214,7.71163374152126
COMESTIBLES,DTS,January 2022,,,,4.63470728800719,8.410817476041261,14.890979066512935,19.6033041258061,16.38661144657081,9.607371265277127,9.508955011944963,1.8069260465969712,10.737806001532912
COMESTIBLES,SUPERCADENAS,January 2022,,,,3.856364276226234,5.068705346556045,15.966029435021591,20.95069869093902,19.54591582495354,25.03366260434774,14.645651645387826,25.150477132541518,17.39504729543193
COMESTIBLES,SUPERETES,January 2022,,,,3.6853036179743452,6.229998057974903,13.53002393857254,25.153802317745782,36.55975930472859,30.9057341490731,22.30828039587684,21.86245029449335,21.191212308298596
OTROS,DTS,January 2022,,,,0.43488782260995595,7.520433636469787,17.790177308120207,23.206849105427928,22.23454616266023,21.350469967793522,21.821332425869695,16.96387331446552,16.97367268077693
OTROS,SUPERCADENAS,January 2022,,,,10.047713215664137,6.954608551512311,16.107723744644925,19.662451678168214,25.20311286055986,29.84554560392728,31.130081226166126,25.45289575439711,21.59506333829984
OTROS,SUPERETES,January 2022,,,,4.233480703847096,2.4175434317322333,10.455847651194196,9.47210613521791,19.361786892403245,19.44437736621662,21.811207449723515,21.056279556803588,14.25604891042467
PEPSICO,DTS,January 2022,,,,1.6671026437360803,8.202061374045014,13.254011000328351,14.03875247492768,6.8092957939519305,4.947753336759838,5.834917626706014,0.6980913914120975,6.905174154746328
PEPSICO,SUPERCADENAS,January 2022,,,,1.710250490930809,1.2569516269888215,8.495126139779165,10.295659790785574,2.8038643181075282,1.1150067479531165,2.3106630740093745,1.6757422644906814,3.7374159180277213
PEPSICO,SUPERETES,January 2022,,,,2.0428245035734074,3.0123481574152144,8.499161175454265,8.083317132617024,17.893452045878178,13.710804583255483,17.66225762129234,14.021373575892426,10.972857979779054
RAMO,DTS,January 2022,,,,1.0119583695672265,7.894346777719473,11.571994783591368,19.302308729341107,22.98107521494794,19.467364305683365,22.883312391651483,18.127077060492958,15.986757062398588
RAMO,SUPERCADENAS,January 2022,,,,8.676659670749544,7.712932266137616,5.388234687803863,9.80189090150607,5.52510625686094,7.466112281583196,1.8956569490448212,5.264596961434771,6.369232348351629
RAMO,SUPERETES,January 2022,,,,0.13587129977885753,9.51257287941129,11.89335747617803,9.335983694137981,9.579093275975694,8.126171870411358,11.989013538717778,8.75747256932723,8.878704011215788
YUPI,DTS,January 2022,,,,3.045614032596775,10.975431719970366,13.26504349137195,26.950188254033677,29.64507144252526,27.763648701062436,28.98791477708009,17.419391344847302,20.513701895797205
YUPI,SUPERCADENAS,January 2022,,,,18.097195466075455,23.450807519000755,27.04297568867956,7.1774965843527205,6.199801221757984,0.5072785704304285,0.1398419272203663,14.68696395258958,11.42891382412405
YUPI,SUPERETES,January 2022,,,,2.2079494958021417,0.7376601276153542,9.582652241737348,6.662672827772582,21.834355730964536,13.536398232410843,10.844344537182065,11.909389650440083,9.949911017278273
COMESTIBLES,DTS,February 2022,,,,,6.844550281271396,16.147543711958523,23.073212976170804,24.243546008025213,20.16043800087218,22.534598623912245,17.740910357757272,18.945694524298702
COMESTIBLES,SUPERCADENAS,February 2022,,,,,5.820417722402243,11.28311384618885,19.527031615171953,18.283547638486557,24.069070892605687,14.303581055462704,22.48575317369252,17.238206842791058
COMESTIBLES,SUPERETES,February 2022,,,,,10.04168491086619,21.582944027880867,30.782973936447043,33.66268544603047,34.17231450713596,24.708263802429926,23.188855914363604,26.093966276604206
OTROS,DTS,February 2022,,,,,4.743944601335444,15.360888976665237,21.869186685616008,21.900228390811275,22.03038517077251,23.953086488224923,19.497002243770034,18.816986688271335
OTROS,SUPERCADENAS,February 2022,,,,,1.5299968344924595,5.3076438120720235,11.997696529235533,13.067740044059287,22.093107665383176,25.120097251875,19.750778482476893,15.079562983220463
OTROS,SUPERETES,February 2022,,,,,7.383009483281033,15.953253839348331,14.310240204356118,19.153030892560125,22.674271059865756,24.038323106274834,23.76453836663185,18.647389080919606
PEPSICO,DTS,February 2022,,,,,4.288643795779092,9.025128366206536,14.25780983377744,11.434841087252977,9.496494374074572,10.7267824903324,6.108991799193166,9.371400208174734
PEPSICO,SUPERCADENAS,February 2022,,,,,0.593883600176414,10.057786281611595,12.247017249745538,7.749923508213469,7.065877059312443,14.242978590859902,13.167064047322521,9.320349639643993
PEPSICO,SUPERETES,February 2022,,,,,5.511479702508066,12.047038426981883,14.569352466326453,18.13195546487776,20.535377455612448,22.448863113730667,19.368358947608602,16.371689103322147
RAMO,DTS,February 2022,,,,,5.097509333056506,6.684649355523004,12.72389196165842,10.596458517375583,7.998989983895426,9.490745289788263,2.99293596788504,7.9247067645070715
RAMO,SUPERCADENAS,February 2022,,,,,2.5733209416680305,6.707624055350626,12.165832962037214,3.9614750215025256,1.545476989933612,0.040006675125794276,5.6395577631253335,4.429661594786759
RAMO,SUPERETES,February 2022,,,,,6.77965598852005,9.199931845357815,6.044520682268062,4.0792754664057345,3.7801675619706487,5.8395444575357,4.801426953243652,5.7922875838227785
YUPI,DTS,February 2022,,,,,4.803985015918888,12.524272581682675,35.086832712395925,39.363052317482186,40.39085215747821,44.32528926907281,38.01353529512936,31.495188223389864
YUPI,SUPERCADENAS,February 2022,,,,,15.502269655075851,20.53947943350637,3.0699217426132477,8.693415712025907,1.1171464438908074,0.9072002016404143,14.983912625401246,8.666589754984955
